GMTTime,Value
2022-10-17T01:06:00Z,-222.3639
2022-10-17T01:07:00Z,-143.9800
2022-10-17T01:08:00Z,-140.8570
2022-10-17T01:09:00Z,2.6457
2022-10-17T01:10:00Z,-6.8038
2022-10-17T01:11:00Z,3.6186
2022-10-17T01:12:00Z,62.9158
2022-10-17T01:13:00Z,1.2315
2022-10-17T01:14:00Z,-14.1856
2022-10-17T01:15:00Z,10.1062
2022-10-17T01:16:00Z,93.8220
2022-10-17T01:17:00Z,130.0268
2022-10-17T01:18:00Z,158.2033
2022-10-17T01:19:00Z,137.3505
2022-10-17T01:20:00Z,131.3372
2022-10-17T01:21:00Z,102.8124
2022-10-17T01:22:00Z,42.1971
2022-10-17T01:23:00Z,-33.5009
2022-10-17T01:24:00Z,102.7477
2022-10-17T01:25:00Z,120.3081
2022-10-17T01:26:00Z,114.2067
2022-10-17T01:27:00Z,39.1844
2022-10-17T01:28:00Z,18.3954
2022-10-17T01:29:00Z,-9.6784
2022-10-17T01:30:00Z,99.9809
2022-10-17T01:31:00Z,190.7409
2022-10-17T01:32:00Z,211.0809
2022-10-17T01:33:00Z,202.2507
2022-10-17T01:34:00Z,155.0433
2022-10-17T01:35:00Z,147.8635
2022-10-17T01:36:00Z,79.0226
2022-10-17T01:37:00Z,101.4370
2022-10-17T01:38:00Z,24.2027
2022-10-17T01:39:00Z,-13.2502
2022-10-17T01:40:00Z,33.2591
2022-10-17T01:41:00Z,8.8619
2022-10-17T01:42:00Z,28.6058
2022-10-17T01:43:00Z,55.0121
2022-10-17T01:44:00Z,4.7824
2022-10-17T01:45:00Z,7.1440
2022-10-17T01:46:00Z,-39.2437
2022-10-17T01:47:00Z,-72.2779
2022-10-17T01:48:00Z,-57.7813
2022-10-17T01:49:00Z,-14.6972
2022-10-17T01:50:00Z,16.8225
2022-10-17T01:51:00Z,-77.1625
2022-10-17T01:52:00Z,-67.7923
2022-10-17T01:53:00Z,-68.5628
2022-10-17T01:54:00Z,-46.0050
2022-10-17T01:55:00Z,-4.3373
2022-10-17T01:56:00Z,15.2033
2022-10-17T01:57:00Z,53.4862
2022-10-17T01:58:00Z,27.4687
2022-10-17T01:59:00Z,58.9782
2022-10-17T02:00:00Z,101.8895
2022-10-17T02:01:00Z,80.8910
2022-10-17T02:02:00Z,47.3193
2022-10-17T02:03:00Z,-25.8166
2022-10-17T02:04:00Z,-29.5762
2022-10-17T02:05:00Z,39.7340
2022-10-17T02:06:00Z,44.5504
2022-10-17T02:07:00Z,152.4919
2022-10-17T02:08:00Z,140.2798
2022-10-17T02:09:00Z,109.5231
2022-10-17T02:10:00Z,91.0432
2022-10-17T02:11:00Z,189.5249
2022-10-17T02:12:00Z,251.1036
2022-10-17T02:13:00Z,194.1006
2022-10-17T02:14:00Z,182.3670
2022-10-17T02:15:00Z,198.9612
2022-10-17T02:16:00Z,169.9984
2022-10-17T02:17:00Z,146.0899
2022-10-17T02:18:00Z,70.8077
2022-10-17T02:19:00Z,56.3223
2022-10-17T02:20:00Z,18.6395
2022-10-17T02:21:00Z,49.2273
2022-10-17T02:22:00Z,27.3243
2022-10-17T02:23:00Z,34.4569
2022-10-17T02:24:00Z,47.7974
2022-10-17T02:25:00Z,8.5982
2022-10-17T02:26:00Z,-45.8719
2022-10-17T02:27:00Z,-39.2218
2022-10-17T02:28:00Z,-64.8972
2022-10-17T02:29:00Z,-25.3058
2022-10-17T02:30:00Z,-26.4653
2022-10-17T02:31:00Z,2.9719
2022-10-17T02:32:00Z,88.0805
2022-10-17T02:33:00Z,56.3893
2022-10-17T02:34:00Z,6.1754
2022-10-17T02:35:00Z,124.4365
2022-10-17T02:36:00Z,65.1657
2022-10-17T02:37:00Z,34.1205
2022-10-17T02:38:00Z,-6.6841
2022-10-17T02:39:00Z,13.7155
2022-10-17T02:40:00Z,12.7012
2022-10-17T02:41:00Z,-10.5320
2022-10-17T02:42:00Z,3.8708
2022-10-17T02:43:00Z,-31.5669
2022-10-17T02:44:00Z,20.9065
2022-10-17T02:45:00Z,10.3463
2022-10-17T02:46:00Z,-3.4476
2022-10-17T02:47:00Z,-43.1797
2022-10-17T02:48:00Z,-28.1524
2022-10-17T02:49:00Z,-32.1314
2022-10-17T02:50:00Z,-50.3324
2022-10-17T02:51:00Z,-45.7962
2022-10-17T02:52:00Z,1.3437
2022-10-17T02:53:00Z,-13.1379
2022-10-17T02:54:00Z,-9.1605
2022-10-17T02:55:00Z,-25.6030
2022-10-17T02:56:00Z,-18.4112
2022-10-17T02:57:00Z,-50.3176
2022-10-17T02:58:00Z,-58.9359
2022-10-17T02:59:00Z,-101.6618
2022-10-17T03:00:00Z,-180.3167
2022-10-17T03:01:00Z,-194.5370
2022-10-17T03:02:00Z,-187.0702
2022-10-17T03:03:00Z,-86.3415
2022-10-17T03:04:00Z,-93.6054
2022-10-17T03:05:00Z,-121.5076
2022-10-17T03:06:00Z,-87.9669
